vote_count,budget,popularity,crew_count,cast_count,runtime,keywords_count,vote_average,genres_count,release_year,production_companies_count,spoken_languages_count,revenue
434,130000000,21.605568,107,16,124.0,2,5.7,5,2005.0,10,3,119269486
433,137000000,26.074908,44,9,106.0,6,5.9,6,2001.0,3,1,85131830
7047,140000000,74.506246,135,56,124.0,14,6.6,3,2011.0,1,3,370569774
862,135000000,39.604363,29,20,128.0,6,6.0,3,1999.0,2,2,361832400
790,150000000,36.973031,168,26,138.0,5,6.9,1,2003.0,4,3,212011111
2553,120000000,99.687084,113,56,115.0,16,6.1,4,2012.0,3,1,829000000
373,130000000,17.7735,22,26,100.0,4,5.8,3,2011.0,4,1,150406466
3021,150000000,62.898336,24,68,114.0,15,6.1,3,2008.0,4,3,163712074
1000,140000000,44.19092,17,23,120.0,9,6.0,3,2016.0,5,1,183345589
6396,135000000,100.635882,124,19,156.0,20,7.3,4,2015.0,9,2,532950503
1074,135000000,44.765377,11,12,96.0,10,6.1,2,2013.0,1,1,282570682
2051,135000000,29.91353,14,17,107.0,11,6.6,5,2011.0,5,1,245724603
1346,132000000,84.366984,4,16,92.0,3,6.5,4,2014.0,1,1,373552094
2888,70000000,45.381501,135,46,115.0,26,7.3,4,2007.0,5,5,442824138
3145,130000000,84.689648,12,26,90.0,23,6.9,4,2008.0,1,1,631744560
5880,130000000,120.09361,165,65,117.0,7,7.0,3,2015.0,1,1,519311965
6495,130000000,76.310119,48,52,146.0,26,7.4,3,2013.0,2,1,847423452
1519,135000000,63.473086,35,11,94.0,8,6.8,5,2015.0,2,1,368871007
2322,132000000,48.572726,164,29,116.0,8,6.2,3,2005.0,4,1,591739379
1564,130000000,38.068736,163,21,147.0,26,6.3,5,2003.0,2,2,273339556
451,130000000,20.678787,21,25,90.0,2,6.4,5,2011.0,1,2,554987477
2093,110000000,48.829437,14,42,100.0,19,6.2,3,2010.0,4,3,293329073
2350,125000000,46.115758,75,18,139.0,4,5.6,2,2014.0,4,1,362637473
2061,130000000,89.938296,47,16,107.0,10,6.7,3,2011.0,7,1,371940071
5877,130000000,79.679601,147,51,141.0,16,7.7,3,2004.0,3,1,789804554
694,130000000,28.840997,101,45,165.0,11,6.3,1,2008.0,5,2,49554002
2532,130000000,42.840582,86,19,100.0,1,5.0,3,2013.0,3,1,243843127
542,127500000,26.548594,18,10,82.0,13,6.2,2,2000.0,2,1,354248063
1851,127000000,115.597753,108,26,97.0,5,6.1,4,2014.0,5,1,349424282
1918,130000000,68.757242,14,23,95.0,17,6.7,5,2010.0,1,1,321887208
7006,125000000,109.984351,134,58,152.0,11,7.5,3,2001.0,3,1,976475550
1260,130000000,39.448066,33,35,96.0,7,5.4,4,2013.0,3,1,61648500
6985,140000000,271.972889,128,70,143.0,20,7.5,3,2003.0,2,1,655011224
5584,125000000,206.227151,134,54,123.0,13,6.6,3,2014.0,2,1,752100229
2704,125000000,45.313197,108,18,149.0,22,6.5,2,2006.0,4,4,767820459
978,103000000,42.40024,22,21,102.0,6,6.3,4,2014.0,2,2,500188435
3506,110000000,2.871739,28,31,133.0,5,6.8,4,2003.0,6,3,407711549
2438,125000000,7.255718,146,36,130.0,16,7.1,3,2011.0,3,4,626137675
3886,125000000,81.499621,34,25,129.0,3,7.0,4,2011.0,5,1,334615000
2233,125000000,47.686442,123,35,106.0,13,5.6,3,2010.0,5,1,232713139
1710,65000000,43.129703,24,21,113.0,15,7.1,3,1990.0,3,1,261317921
510,160000000,27.220157,17,19,102.0,9,6.4,3,1999.0,1,2,61698899
2651,130000000,90.33681,102,31,120.0,18,6.0,2,2012.0,5,2,276572938
1418,125000000,50.073575,105,14,125.0,9,4.2,3,1997.0,2,1,238207122
1386,123000000,45.419668,18,17,104.0,6,6.2,3,2000.0,2,1,345141403
2392,125000000,41.380094,228,27,124.0,27,6.2,4,2004.0,5,5,544272402
1928,125000000,54.931334,123,17,123.0,20,5.9,3,2000.0,3,1,546388105
597,120000000,25.752118,16,28,130.0,10,6.2,1,2000.0,3,1,325756637
2589,130000000,60.810723,32,18,92.0,29,5.4,4,2007.0,7,4,289047763
5797,120000000,51.328145,27,21,127.0,10,7.2,3,2012.0,6,6,609016565
1712,110000000,46.834704,58,19,114.0,8,5.2,4,2007.0,7,1,228738393
2341,120000000,62.641286,119,208,123.0,3,5.9,2,2016.0,5,1,415484914
914,120000000,33.616115,13,24,106.0,3,5.2,3,2003.0,4,3,259175788
5080,130000000,68.889395,81,26,124.0,13,6.3,3,2012.0,4,2,403170142
613,120000000,27.990284,10,14,78.0,5,5.4,4,2002.0,2,1,169956806
3439,115000000,67.33767,118,24,109.0,3,6.4,4,2013.0,7,1,286140700
1570,105000000,27.835436,193,19,119.0,5,6.3,2,2004.0,2,1,115772733
2342,120000000,66.757869,27,16,102.0,7,5.7,2,2014.0,3,1,242688965
354,120000000,17.060695,26,26,135.0,6,5.7,3,2008.0,6,1,93945766
223,120000000,11.137655,19,16,121.0,4,4.9,3,2010.0,3,1,48668907
1547,117000000,44.906918,109,19,109.0,13,5.9,2,2010.0,5,3,261930431
4800,120000000,67.698004,31,15,124.0,6,6.4,4,2013.0,5,1,286168572
4116,113000000,44.108427,15,60,140.0,11,7.1,3,2005.0,1,1,850000000
3992,120000000,43.987061,20,42,142.0,17,6.4,3,2002.0,1,1,649398328
5996,115000000,106.815545,242,53,92.0,11,7.5,3,2001.0,2,1,562816256
4053,120000000,15.953444,82,22,126.0,9,6.3,4,2013.0,6,1,415440673
4432,115000000,54.035265,14,58,136.0,8,6.3,3,1999.0,1,1,924317558
2399,135000000,64.183321,14,8,98.0,10,6.8,5,2013.0,1,1,585178928
471,97250400,20.344364,23,26,116.0,11,5.0,4,2008.0,12,2,132900000
341,115000000,18.714197,35,10,134.0,8,5.8,4,2002.0,2,3,77628265
1523,115000000,60.467984,7,42,114.0,5,6.0,3,2016.0,3,1,164602163
2636,125000000,143.350376,54,28,101.0,15,5.8,5,2014.0,3,1,477200000
5751,105000000,110.153618,81,7,91.0,5,7.3,3,2013.0,3,1,716392705
428,116000000,16.90444,107,16,108.0,23,5.7,3,1997.0,2,1,178127760
963,135000000,39.873791,14,25,112.0,6,5.8,4,2016.0,5,1,245623848
2278,120000000,38.126095,119,28,100.0,11,4.4,3,2015.0,7,1,167977596
2862,110000000,48.780039,19,21,108.0,14,6.3,5,2006.0,4,3,574480841
2968,110000000,100.412364,82,45,114.0,8,6.0,3,2015.0,4,1,470490832
925,110000000,42.887121,20,34,119.0,17,6.0,3,1997.0,1,5,333011068
1099,110000000,23.657284,129,21,165.0,15,6.8,4,2000.0,4,1,215294342
2124,110000000,76.840712,109,27,125.0,7,6.4,2,2004.0,5,5,362744280
2965,110000000,44.635452,19,15,120.0,15,6.5,4,2005.0,5,2,478207520
3829,110000000,103.718387,71,24,119.0,8,6.2,3,2015.0,4,1,295238201
1489,116000000,45.616098,149,65,170.0,9,7.0,1,2004.0,8,1,102000000
621,112000000,22.845143,22,16,85.0,5,4.9,1,2010.0,4,1,237382724
1251,120000000,31.703608,15,13,119.0,16,5.5,3,2011.0,3,2,227817248
2397,110000000,71.510596,89,42,102.0,8,6.1,2,2014.0,6,1,337580051
1179,110000000,36.65422,25,29,103.0,11,5.5,5,2011.0,3,1,563749323
389,110000000,19.625972,76,21,76.0,3,5.7,2,2004.0,1,2,103951461
1998,110000000,86.105615,109,34,121.0,7,5.9,2,2016.0,4,1,179246868
2692,110000000,37.195046,46,172,127.0,7,6.6,3,2011.0,9,1,299268508
695,105000000,32.473628,12,32,105.0,3,5.5,4,2013.0,5,1,347434178
434,160000000,23.336875,103,16,121.0,6,4.1,3,1997.0,2,2,164508066
2303,110000000,45.94834,127,20,114.0,11,6.6,3,2013.0,6,1,125537191
2089,110000000,48.93337,108,23,128.0,25,6.4,2,2007.0,5,3,383531464
8705,93000000,138.049577,30,26,178.0,16,8.0,3,2001.0,3,1,871368364
672,110000000,22.643776,135,26,120.0,8,5.7,3,2004.0,7,6,72178895
447,107000000,18.866672,32,56,157.0,5,6.7,1,2001.0,1,1,87713825
3793,120000000,95.914473,138,21,115.0,14,6.7,2,2004.0,6,1,347234916
1157,130000000,44.490453,114,20,144.0,9,6.6,5,2005.0,10,4,211643158
959,133000000,30.475297,9,18,84.0,10,5.8,4,1999.0,3,1,300135367
1247,105000000,62.479574,99,23,97.0,12,6.7,4,2009.0,2,2,267045765
7268,108000000,167.93287,105,51,141.0,15,7.6,3,2015.0,6,2,630161890
1770,126000000,37.68056,55,41,136.0,9,6.5,4,2005.0,3,1,162949164
16,90000000,1.004579,3,10,104.0,4,3.7,2,2001.0,1,1,10372291
1485,90000000,52.995628,34,23,118.0,22,6.1,3,2000.0,2,1,237202299
5439,103000000,95.301296,101,38,155.0,19,7.9,3,2000.0,7,1,457640427
2608,102000000,65.948959,156,23,145.0,9,7.1,4,2002.0,7,2,358372926
5815,100000000,132.397737,141,61,161.0,11,7.4,3,2002.0,3,1,876688482
3855,150000000,88.935165,126,79,144.0,10,7.3,3,2006.0,3,2,599045960
1243,100000000,51.188633,20,23,119.0,12,5.6,4,2001.0,3,1,362211740
4185,100000000,101.74155,58,42,137.0,13,7.7,3,1991.0,5,2,520000000
1344,80000000,33.691694,108,49,140.0,6,6.5,3,2009.0,7,1,214104620
1502,100000000,42.361215,60,110,157.0,18,7.4,2,2007.0,5,1,266465037
1116,115000000,38.729418,23,10,141.0,16,6.8,2,1994.0,2,4,378882411
954,100000000,40.597856,19,22,106.0,8,6.2,3,2009.0,5,1,150166126
1060,100000000,32.389353,9,18,98.0,7,5.4,2,2010.0,6,1,310650585
1383,100000000,24.399642,10,29,107.0,9,6.1,3,2010.0,2,1,170432927
543,100000000,24.507987,77,18,115.0,25,5.6,4,1996.0,2,1,242295562
10099,100000000,82.121691,88,115,165.0,21,7.8,2,2012.0,2,3,425368238
1129,100000000,46.727941,35,17,91.0,19,6.8,3,1996.0,1,2,100138851
1490,100000000,51.113717,27,11,78.0,7,7.2,5,2000.0,2,1,169327687
2896,100000000,53.732892,106,17,103.0,10,6.1,3,2012.0,2,1,312573423
1926,100000000,58.849256,125,38,131.0,5,6.4,4,2004.0,4,3,347451894
967,100000000,30.863434,26,15,104.0,6,4.9,4,2006.0,7,1,249288105
572,100000000,31.586215,9,17,101.0,9,6.4,2,2009.0,5,1,100086793
